Plot,Tree_no,RECRUIT,Species,InitialDbh,RefPoint,Critx,Crity,OffsetN,OffsetE,Dist,Azimuth,AzgridN,Treex,Treey,TrtgridN,X_Offset,Y_Offset,X_Corrected,Y_Corrected,Initial_MeasNum,Initial_TreeClass,Initial_LoggingStatus,Coords_Calculation_Date,MapInfoNeeded,Comments
805,2012,0,TSHE,2.6,F6,100,40,0,0,10.9,264,310,92.15,47.58,40,210,-270,162.42,-177.85,1,10,PRE,2003-04-04 00:00:00,No,
805,2013,0,TSHE,2.2,F6,100,40,0,0,9.7,276,310,94.57,48.05,40,210,-270,161.95,-175.43,1,10,PRE,2003-04-04 00:00:00,No,
805,2014,0,TSHE,1.8,F6,100,40,0,0,9,280,310,95.5,47.8,40,210,-270,162.2,-174.5,1,10,PRE,2003-04-04 00:00:00,No,
805,2015,0,PSME,34.2,F6,100,40,0,0,9.3,291,310,96.92,48.96,40,210,-270,161.04,-173.08,1,10,PRE,2003-04-04 00:00:00,No,
805,2016,0,TSHE,5.2,F6,100,40,0,0,10,303,310,98.78,49.95,40,210,-270,160.05,-171.22,1,10,PRE,2003-04-04 00:00:00,No,
805,2017,0,THPL,25.4,F6,100,40,0,0,9.6,305,310,99.15,49.69,40,210,-270,160.31,-170.85,1,10,PRE,2003-04-04 00:00:00,No,
805,2018,0,TSHE,0.3,F6,100,40,0,0,8,301,310,98.75,47.9,40,210,-270,162.1,-171.25,1,10,PRE,2003-04-04 00:00:00,No,
805,2019,0,TSHE,16.6,F6,100,40,0,0,7.4,292,310,97.69,47.12,40,210,-270,162.88,-172.31,1,10,PRE,2003-04-04 00:00:00,No,
805,2020,0,PSME,53.7,F6,100,40,0,0,7.2,284,310,96.73,46.71,40,210,-270,163.29,-173.27,1,10,PRE,2003-04-04 00:00:00,No,
805,2021,0,TSHE,0.4,F6,100,40,0,0,6.6,295,310,98.29,46.38,40,210,-270,163.62,-171.71,1,10,PRE,2003-04-04 00:00:00,No,
805,2022,0,THPL,15.1,F6,100,40,0,0,6.2,297,310,98.59,46.11,40,210,-270,163.89,-171.41,1,10,PRE,2003-04-04 00:00:00,No,
805,2023,0,TSHE,0.1,F6,100,40,0,0,5.7,296,310,98.62,45.53,40,210,-270,164.47,-171.38,1,10,PRE,2003-04-04 00:00:00,No,
805,2024,0,TSHE,0.1,F6,100,40,0,0,3.2,312,310,100.11,43.2,40,210,-270,166.8,-169.89,1,10,PRE,2003-04-04 00:00:00,No,
805,2025,0,TSHE,0.3,F6,100,40,0,0,3.4,283,310,98.46,43.03,40,210,-270,166.97,-171.54,1,10,PRE,2003-04-04 00:00:00,No,
805,2026,0,PSME,35.1,F6,100,40,0,0,4.6,264,310,96.56,43.32,40,210,-270,166.68,-173.44,1,10,PRE,2003-04-04 00:00:00,No,
805,2027,0,TSHE,1.7,F6,100,40,0,0,6.2,260,310,95.24,43.99,40,210,-270,166.01,-174.76,1,10,PRE,2003-04-04 00:00:00,No,
805,2028,0,TSHE,1.9,F6,100,40,0,0,5.5,254,310,95.43,43.08,40,210,-270,166.92,-174.57,1,10,PRE,2003-04-04 00:00:00,No,
805,2029,0,TSHE,0.8,F6,100,40,0,0,4.4,254,310,96.35,42.46,40,210,-270,167.54,-173.65,1,10,PRE,2003-04-04 00:00:00,No,
805,2030,0,TSHE,1.3,F6,100,40,0,0,2.7,281,310,98.69,42.37,40,210,-270,167.63,-171.31,1,10,PRE,2003-04-04 00:00:00,No,
805,2031,0,TSHE,1,F6,100,40,0,0,2.2,262,310,98.36,41.48,40,210,-270,168.52,-171.64,1,10,PRE,2003-04-04 00:00:00,No,
805,2032,0,TSHE,0.1,F6,100,40,0,0,1.5,286,310,99.39,41.37,40,210,-270,168.63,-170.61,1,10,PRE,2003-04-04 00:00:00,No,
805,2033,0,TSHE,1.8,F6,100,40,0,0,5.7,237,310,94.54,41.67,40,210,-270,168.33,-175.46,1,10,PRE,2003-04-04 00:00:00,No,
805,2034,0,TSHE,1.7,F6,100,40,0,0,4.4,246,310,96.04,41.93,40,210,-270,168.07,-173.96,1,10,PRE,2003-04-04 00:00:00,No,
805,2035,0,TSHE,1.3,F6,100,40,0,0,5.8,236,310,94.42,41.6,40,210,-270,168.4,-175.58,1,10,PRE,2003-04-04 00:00:00,No,
805,2036,0,TSHE,0.9,F6,100,40,0,0,6.6,254,310,94.52,43.69,40,210,-270,166.31,-175.48,1,10,PRE,2003-04-04 00:00:00,No,
805,2037,0,TSHE,1.7,F6,100,40,0,0,7.1,246,310,93.61,43.12,40,210,-270,166.88,-176.39,1,10,PRE,2003-04-04 00:00:00,No,
805,2038,0,TSHE,0.2,F6,100,40,0,0,6.6,231,310,93.52,41.26,40,210,-270,168.74,-176.48,1,10,PRE,2003-04-04 00:00:00,No,
805,2039,0,TSHE,1.9,F6,100,40,0,0,6.6,229,310,93.47,41.03,40,210,-270,168.97,-176.53,1,10,PRE,2003-04-04 00:00:00,No,
805,2040,0,TSHE,0.3,F6,100,40,0,0,8.3,240,310,92.2,42.84,40,210,-270,167.16,-177.8,1,10,PRE,2003-04-04 00:00:00,No,
805,2041,0,TSHE,1,F6,100,40,0,0,8.9,251,310,92.37,44.59,40,210,-270,165.41,-177.63,1,10,PRE,2003-04-04 00:00:00,No,
805,2042,0,TSHE,0.3,F6,100,40,0,0,9,262,310,93.31,46.02,40,210,-270,163.98,-176.69,1,10,PRE,2003-04-04 00:00:00,No,
805,2043,0,PSME,45.5,F6,100,40,0,0,8.3,267,310,94.18,46.24,40,210,-270,163.76,-175.82,1,10,PRE,2003-04-04 00:00:00,No,
805,2044,0,TSHE,1,F6,100,40,0,0,10.1,248,310,91.08,44.74,40,210,-270,165.26,-178.92,1,10,PRE,2003-04-04 00:00:00,No,
805,2045,0,PSME,46.3,F6,100,40,0,0,8.6,215,310,91.2,39.23,40,210,-270,170.77,-178.8,1,10,PRE,2003-04-04 00:00:00,No,
805,2046,0,TSHE,1.3,F6,100,40,0,0,7.1,205,310,93.14,38.16,40,210,-270,171.84,-176.86,1,10,PRE,2003-04-04 00:00:00,No,
